TrainStatus,TrainLatitude,TrainLongitude,TrainCode,TrainDate,PublicMessage,Direction
R,53.3632,-6.25908,P783,29 Jan 2026,P783\n19:40 - M3 Parkway to Dublin Connolly (6 mins late)\nDeparted Drumcondra next stop Dublin Connolly,Southbound
R,53.3704,-6.50598,P767,29 Jan 2026,P767\n20:15 - Maynooth to Dublin Connolly (-2 mins late)\nArrived Leixlip (Louisa Bridge) next stop Leixlip (Confey),Southbound
R,53.3725,-6.29869,P667,29 Jan 2026,P667\n19:39 - Maynooth to Grand Canal Dock (8 mins late)\nDeparted Broombridge next stop Drumcondra,Southbound
R,53.373,-6.20442,E257,29 Jan 2026,E257\n20:03 - Malahide to Bray (0 mins late)\nDeparted Killester next stop Clontarf Road,Southbound
R,53.3743,-6.48624,D933,29 Jan 2026,D933\n19:47 - Dublin Connolly to Maynooth (1 mins late)\nArrived Leixlip (Confey) next stop Leixlip (Louisa Bridge),Northbound
R,53.3755,-6.33135,A913,29 Jan 2026,A913\n17:05 - Sligo to Dublin Connolly (5 mins late)\nArrived Ashtown next stop Broombridge,Southbound
R,53.378,-6.58993,A914,29 Jan 2026,A914\n19:32 - Dublin Connolly to Sligo (3 mins late)\nDeparted Maynooth next stop Kilcock,Northbound
R,53.3891,-6.07401,E129,29 Jan 2026,E129\n20:19 - Howth to Greystones (0 mins late)\nDeparted Howth next stop Sutton,Southbound
R,53.3917,-6.13678,E943,29 Jan 2026,E943\n19:01 - Greystones to Howth (2 mins late)\nArrived Bayside next stop Sutton,Northbound
R,53.4855,-6.15134,P622,29 Jan 2026,P622\n19:48 - Drogheda to Grand Canal Dock (0 mins late)\nArrived Donabate next stop Malahide,To Grand Canal Dock
R,53.6794,-6.24253,D831,29 Jan 2026,D831\n19:19 - Grand Canal Dock to Drogheda (0 mins late)\nDeparted Laytown next stop Drogheda,To Drogheda
R,53.8591,-7.9164,A915,29 Jan 2026,A915\n19:05 - Sligo to Dublin Connolly (10 mins late)\nDeparted Dromod next stop Longford,Southbound
R,54.0007,-6.41291,A127,29 Jan 2026,A127\n19:56 - Newry to Dublin Connolly (-2 mins late)\nDeparted Dundalk next stop Drogheda,Southbound
R,54.0887,-8.52088,A912,29 Jan 2026,A912\n17:05 - Dublin Connolly to Sligo (7 mins late)\nDeparted Ballymote next stop Collooney,Northbound
T,53.0371,-7.30086,D221,29 Jan 2026,D221\n19:08 - Dublin Heuston to Portlaoise(-1 mins late)\nTERMINATED Portlaoise at 20:20,To Portlaoise
T,53.3397,-6.23773,P621,29 Jan 2026,P621\n18:52 - Drogheda to Grand Canal Dock(11 mins late)\nTERMINATED Grand Canal Dock at 20:13,To Grand Canal Dock
T,53.3531,-6.24591,E700,29 Jan 2026,E700\n19:25 - Bray to Dublin Connolly(0 mins late)\nTERMINATED Dublin Connolly at 20:13,Northbound
T,53.3831,-6.4242,P329,29 Jan 2026,P329\n20:07 - M3 Parkway to Clonsilla(4 mins late)\nTERMINATED Clonsilla at 20:21,Southbound
T,53.4509,-6.15649,E840,29 Jan 2026,E840\n19:04 - Bray to Malahide(0 mins late)\nTERMINATED Malahide at 20:17,Northbound
